brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
STAT PROFILE,PRIME CCS COMP,52857,00385480528573,GS1,JFP; JIX; KHP; CHL; CGZ; GKF; JJS; JGS; CEM; CGA,Prime CCS Comp Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
NOVA,MAX,43590,10385480435908,GS1,NBW,NOVA MAX 10 GLUCOSE TEST STRIPS,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC,23930,00385480239301,GS1,JJY,"STAT PROFILE PHOX/BASIC CONTROLS AUTO-CARTRIDGE,75",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor,1.0,45335,10385480453353,GS1,CGL,StatSensor Creatinine Meter with Quick Reference Guide - Remanufactured,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA,42014,10385480420140,GS1,JFP; CFA; GGZ; CGL; GLY; CHL; CGZ; GKK; CDS; JJB; JIX; NGD; JGS; CEM; CGA; BXX; GHS; GJC,Stat Profile pHOx Ultra ABG Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS/C,34643,00385480346436,GS1,CGZ; JEP; GKR; JGS; JPI; CGA; JKS; JIX; JFP; CEM; JPK; GJS; CHL,STAT PROFILE pHOx PLUS/C PROBE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,8,15264,10385480152645,GS1,JFP,NOVA 8 IONIZED CALCIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX CO OX,33343,10385480333433,GS1,GLY,Remanufactured Stat Profile pHOx CO-Oximeter Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,8,15215,10385480152157,GS1,JGS; JFP; CHL; CFA; CEM; JPI,Nova 8/8+ Analyzer w/ Printer (no Acc Pack),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime,53443,00385480534437,GS1,CHL,Flow Path Flush Tool,In Commercial Distribution,false,2022-12-08,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62353,10385480623534,GS1,CHL,Prime ES Comp Plus W/ Tray & Scanner,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
NOVA,8,15086,00385480150866,GS1,CFA; JGS; CEM; JPI; CHL; JFP; JIX; JJC,NOVA 8 TUBING HARNESS,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,SUREFLEX,50078,10385480500781,GS1,NBW,Nova Sureflex Lancing Device,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57400,10385480574003,GS1,CHL,Stat Profile Prime Plus® Analyzer,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
NOVA,16,17092,00385480170925,GS1,JJC; CGZ; JIX; CDS; JPK; JFL; CGA; CGL; CEM; JPI,NOVA 16 TUBING HARNESS WITH DILUTOR,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,16,17612,10385480176122,GS1,CDS,NOVA 16 BUN MEMBRANE KIT,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36252,00385480362528,GS1,JIX,STAT PROFILE CCX CALIBRATOR CARTRIDGE 2 WITH CREATININE,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,33626,00385480336260,GS1,KHP,STAT PROFILE pHOx PLUS L LACTATE SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62225,00385480622257,GS1,CHL,Prime Calibrator Cartridge ES Plus 100 Sample,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Nova Primary,Nova Primary Glucose Sensor,63231,00385480632317,GS1,CGA,Nova Primary Glucose Sensor,In Commercial Distribution,false,2023-02-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36640,00385480366403,GS1,JIX,STAT PROFILE CCX CALIBRATOR CARTRIDGE 3,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,CCX,40722,00385480407229,GS1,JPK; CEM; CGL; JFP; CFA; JPI; CGA; JKS; JIX; JJS; CGZ; CHL; CDS; GKR; KHP; GHS; JGS,STAT PROFILE CRITICAL CARE EXPRESS CAPILLARY TUBE 230 uL WITH Na HEPARIN,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,55262,10385480552629,GS1,CHL,Prime Sensor Card ABG (High Volume),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,33623,10385480336236,GS1,KHP,STAT PROFILE pHOx PLUS L LACTATE MEMBRANE KIT,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
